habit,initial_wpm,initial_score,initial_reading_lvl,final_wpm,final_score,final_reading_lvl
Sporadic,45,0.56,Frustration II,54.0,0.6160000000000001,Frustration II
Sporadic,70,0.4,Frustration III,84.0,0.44000000000000006,Frustration III
Sporadic,99,0.61,Frustration IV,118.8,0.671,Frustration V
Sporadic,114,0.7,Frustration V,136.79999999999998,0.77,Instructional II
Sporadic,154,0.17,Frustration VI,184.79999999999998,0.18700000000000003,Frustration VI
Sporadic,29,0.43,Frustration I,34.8,0.47300000000000003,Frustration II
Sporadic,34,0.44,Frustration II,40.8,0.48400000000000004,Frustration II
Sporadic,87,0.71,Frustration III,104.39999999999999,0.781,Instructional V
Sporadic,107,0.51,Frustration IV,128.4,0.561,Frustration V
Sporadic,132,0.57,Frustration V,158.4,0.627,Frustration VI
Sporadic,154,0.07,Frustration VI,184.79999999999998,0.07700000000000001,Frustration VI
Sporadic,25,0.07,Frustration I,30.0,0.07700000000000001,Frustration I
Sporadic,41,0.23,Frustration II,49.199999999999996,0.25300000000000006,Frustration II
Sporadic,88,0.28,Frustration III,105.6,0.30800000000000005,Frustration IV
Sporadic,97,0.14,Frustration IV,116.39999999999999,0.15400000000000003,Frustration V
Sporadic,117,0.65,Frustration V,140.4,0.7150000000000001,Frustration V
Sporadic,141,0.02,Frustration VI,169.2,0.022000000000000002,Frustration VI
Sporadic,30,0.21,Frustration I,36.0,0.231,Frustration II
Sporadic,54,0.19,Frustration II,64.8,0.20900000000000002,Frustration III
Sporadic,83,0.08,Frustration III,99.6,0.08800000000000001,Frustration IV
Sporadic,93,0.48,Frustration IV,111.6,0.528,Frustration V
Sporadic,131,0.51,Frustration V,157.2,0.561,Frustration VI
Sporadic,153,0.59,Frustration VI,183.6,0.649,Frustration VI
Sporadic,25,0.26,Frustration I,30.0,0.28600000000000003,Frustration I
Sporadic,55,0.26,Frustration II,66.0,0.28600000000000003,Frustration III
Sporadic,71,0.63,Frustration III,85.2,0.6930000000000001,Frustration III
Sporadic,104,0.25,Frustration IV,124.8,0.275,Frustration V
Sporadic,129,0.06,Frustration V,154.79999999999998,0.066,Frustration VI
Sporadic,141,0.35,Frustration VI,169.2,0.385,Frustration VI
Sporadic,29,0.01,Frustration I,34.8,0.011000000000000001,Frustration II
Sporadic,50,0.29,Frustration II,60.0,0.319,Frustration II
Sporadic,89,0.19,Frustration III,106.8,0.20900000000000002,Frustration IV
Sporadic,109,0.24,Frustration IV,130.79999999999998,0.264,Frustration V
Sporadic,135,0.66,Frustration V,162.0,0.7260000000000001,Frustration VI
Sporadic,155,0.26,Frustration VI,186.0,0.28600000000000003,Frustration VI
Sporadic,26,0.49,Frustration I,31.2,0.539,Frustration II
Sporadic,53,0.09,Frustration II,63.599999999999994,0.099,Frustration III
Sporadic,86,0.66,Frustration III,103.2,0.7260000000000001,Frustration IV
Sporadic,105,0.67,Frustration IV,126.0,0.7370000000000001,Frustration V
Sporadic,124,0.24,Frustration V,148.79999999999998,0.264,Frustration VI
Sporadic,153,0.67,Frustration VI,183.6,0.7370000000000001,Frustration VI
Sporadic,26,0.55,Frustration I,31.2,0.6050000000000001,Frustration II
Sporadic,31,0.34,Frustration II,37.199999999999996,0.37400000000000005,Frustration II
Sporadic,79,0.07,Frustration III,94.8,0.07700000000000001,Frustration IV
Sporadic,95,0.24,Frustration IV,114.0,0.264,Frustration V
Sporadic,136,0.21,Frustration V,163.2,0.231,Frustration VI
Sporadic,145,0.06,Frustration VI,174.0,0.066,Frustration VI
Sporadic,27,0.57,Frustration I,32.4,0.627,Frustration II
Sporadic,41,0.66,Frustration II,49.199999999999996,0.7260000000000001,Frustration II
Sporadic,65,0.19,Frustration III,78.0,0.20900000000000002,Frustration III
Sporadic,93,0.44,Frustration IV,111.6,0.48400000000000004,Frustration V
Sporadic,118,0.65,Frustration V,141.6,0.7150000000000001,Frustration VI
Sporadic,144,0.46,Frustration VI,172.79999999999998,0.5060000000000001,Frustration VI
Sporadic,27,0.43,Frustration I,32.4,0.47300000000000003,Frustration II
Sporadic,38,0.72,Frustration II,45.6,0.792,Instructional II
Sporadic,87,0.51,Frustration III,104.39999999999999,0.561,Frustration IV
Sporadic,96,0.05,Frustration IV,115.19999999999999,0.05500000000000001,Frustration V
Sporadic,125,0.13,Frustration V,150.0,0.14300000000000002,Frustration VI
Sporadic,158,0.01,Frustration VI,189.6,0.011000000000000001,Frustration VI
